,precision,recall,f1-score,support
apple leaf,0.7142857142857143,0.7575757575757576,0.7352941176470589,66.0
apple rust,0.7608695652173914,0.7608695652173914,0.7608695652173914,46.0
apple scab,0.7368421052631579,0.6363636363636364,0.6829268292682927,44.0
basil leaf,0.9775280898876404,0.9886363636363636,0.9830508474576272,88.0
cabbage leaf,0.9714285714285714,0.9714285714285714,0.9714285714285714,70.0
cherry leaf,0.7555555555555555,0.7906976744186046,0.7727272727272727,43.0
citrus canker,0.9726027397260274,0.8765432098765432,0.922077922077922,81.0
corn smut,0.9777777777777777,1.0,0.9887640449438202,44.0
cucumber leaf,0.7755102040816326,0.7307692307692307,0.7524752475247525,52.0
grape downy mildew,0.8253968253968254,0.8666666666666667,0.8455284552845529,60.0
maple leaf,0.8571428571428571,0.8936170212765957,0.875,47.0
plum leaf,0.6756756756756757,0.5102040816326531,0.5813953488372093,49.0
squash leaf,0.7464788732394366,0.8688524590163934,0.803030303030303,61.0
tomato early blight,0.7407407407407407,0.7692307692307693,0.7547169811320755,52.0
tomato late blight,0.7291666666666666,0.7954545454545454,0.7608695652173914,44.0
accuracy,0.8288075560802833,0.8288075560802833,0.8288075560802833,0.8288075560802833
macro avg,0.8144667974723779,0.8144606368375815,0.8126770047862826,847.0
weighted avg,0.829113979176862,0.8288075560802833,0.8272609845059736,847.0
